1;null;nullnull
2;अशुभ, नराम्रो, अमङ्गल, अमाङ्गलिक, अनिष्टसूचक, अरिष्ट;जुनचाहिँ राम्रो हुँदैन  बिरालोले बाटो काट्नु अशुभ मानिन्छ
3;अप्रविष्ट, नपसेको;जो प्रविष्ट भएको छैन  अप्रविष्ट अतिथिहरूलाई शीघ्र नै भित्र प्रवेश गर्न दिइयोस्
4;पवित्र स्थान, पुण्य भूमि, पुण्य-स्थल, पुण्य स्थल, चैत्य स्थान;त्यो स्थान जुनचाहिँ पवित्र मानिन्छ  हिन्दूहरूको लागि काशी एउटा पवित्र स्थान हो
5;null;nullnull
6;null;nullnull
7;आएका, समागत;जो आएको छ  आगत व्यक्तिहरूको स्वागत गर
8;जन्मेको,जन्मिएको, उत्पन्न भएको;जो जन्मिएको छ  जन्मिएका प्राणीको मृत्यु निश्चित छ
9;null;nullnull
10;उत्पन्न, उत्पादित, पैदा-भएको;जसको उत्पत्ति भएको छ वा जुन चाहिं उम्रिएको छ  भारतमा उत्पन्न भएको चिया अधिक मात्रामा विदेशहरूमा निर्यात गरिन्छ
11;दुश्चरित्रता,चरित्रहीनता;दुश्चरित्र भएको अवस्था वा भाव  दुश्चरित्रताबाट बच्नुपर्छ
12;घडघडो, घडघड्याँइ, ढिपी, लिँडे ढिपी;घडघडो हुने वा घडघडो भएको भाव  श्यामका बाबु पुलिसमा छन त्यसैले ऊ यस्तो घडघड्याँइ देखाउँछ
13;अत्याचार, अन्याय, थिचोमिचो, पेलाइ,;अरूसँग बलपूर्वक गरिने त्यो अनुचित व्यवहार जसले उसलाई धेरै कष्ट हुन्छ  भारतीय जनतामाथि अङ्ग्रेजहरूले धेरै नै अत्याचार गरे
14;भ्रष्टाचार,गडबडी, दुर्नीति;जानी-बुझी वा मनमोजी ढङ्गले उत्पन्न गरिने अथवा अपारङ्गतका कारणले हुने गडबडी  आजभोलि प्रत्येक विभागमा केही न केही भ्रष्टाचार भइरहेको छ
15;भिटामिन, विटामिन, खाद्योज, पोषिलो खानेकुरा;प्रायः खाद्य पदार्थमा पाइने एक प्रकारको पोषक तत्व  भिटामिन छ प्रकारका हुन्छन्
16;सच्चरित्रता, सच्चरितता;गतिलो चरित्र हुने अवस्था या भाव  सच्चरित्रताले मनुष्यलाई महान्  बनाउँछ
17;मनमानी, जथाभाबी;कसैले नचाहँदा नै आफ्नो इच्छानुसार कुनै काम आदि गर्नु या गराउने काम  तिम्रो मनमानी यहाँ चल्दैन
18;null;nullnull
19;अन्न, अनाज, खाद्यान्न, धान्य, शस्य;बोटबाट उत्पन्न हुने दानो जुन खाने काममा आउँछ  श्याम अन्नको व्यापारी हो
20;खाद्य वस्तु, खाद्य पदार्थ, खाद्यवस्तु, खाद्यपदार्थ, आहार, खाद्य, भोज्य पदार्थ, आहार पदार्थ, अन्न, अर्क;खाने (या पिउने) काममा आउने  वस्तुजसद्वारा शरीरले ऊर्जा पाउँछ अनि  शारीरिक विकास हुन्छ  गाउँको भन्दा  सहरमा खाद्य वस्तु निक्कै महँगो हुन्छ
21;अनुभवहीन, काँचो, कच्चा, अल्हरे, स्वाँठ;जसमा अनुभवको कमी हुन्छ  अनुभवहीन भएकाले रामुले नौकरी भेटेन / ऊ यस खेलमा अनुभवहीन छ
22;अप्रवीण, अनाडी, अकुशल, अदक्ष, अनिपुण, अधकचरा, अनाप्त, अनारी, अनैपुण, अपटु, अपाटव, अपात्र;जो प्रवीण होइन  अप्रवीण खेलाडीले पनि  राम्रो खेल प्रदर्शन गर्यो
23;अयोग्य, अनुपयुक्त, नालायक, ना-लायक, अनलायक, अपारग, अप्रभु, अयथा, अयुक्त, अयुक्तरूप, अयोग;जो योग्य छैन  प्रबन्धकले अयोग्य व्यक्तिलाई संस्थाबाट निकालिदिए
24;null;nullnull
25;सिकारू, काँचो, कच्चा, नव प्रशिक्षित, नयाँ, असिद्ध, अनभ्यस्त, अपक्व, अपरिपक्क;जसले कुनै काम भर्खरै सिकेको छ  यो काम सिकारू  व्यक्तिले पनि गर्न सक्छ
26;ढङ्ग, सिप;जसलाई राम्रोसँग काम गर्ने ढङ्ग आउँदैन  तँ ढङ्ग नभएको मान्छे जस्तो काम किन गर्छस्
27;null;nullnull
28;अप्रचलित, अप्रचरित, अव्यवहृत, अप्रयुक्त, आउटडेटेड, आउट आफ डेट;जुन प्रचलित छैन  तिमी सधैँ अप्रचलित पहिरन नै किन  लगाउँछौ?
29;सिपालु, प्रवीण, निपुण, पारङ्गत, दक्ष, माहिर, अभ्यस्त, कुशल, होशियार, पक्का, सिद्धहस्त, शातिर, पटु, पका, निष्णात, परिपक्व, कार्यकुशल, विचक्षण, अभिज्ञ, अभ्यासी, आप्त;जसको कुनै कार्य गर्न विशेष योग्यता रहेको छ  अर्जुन धनुर्विद्यामा सिपालु थिए
30;null;nullnull
31;null;nullnull
32;राम्रो,सही मान्छे, गतिलो;जो सोझो या राम्रो छ या जसमा राम्रा गुण छन् या जसको काम आदिबाट अरूको भलाइ हुन्छ  दुनियामा राम्रा मानिसको कमी छैन
33;नरभक्षी, मनुष्यभक्षी, मान्छेखाने;जसले मनुष्य भक्षण गर्छ या मानवलाई आफ्नो आहार बनाउँछ  शिकारीले नरभक्षी बघिनीलाई आफ्नो निसाना बनायो
34;null;nullnull
35;टुहुरो, अनाथ, यतीम, लावारिस;जसको कोही पनि पालन-पोषण गर्ने छैन  श्यामले आफ्नो सारा जीवन टुहुरा बच्चाहरूको हेरचाहमा बिताए
36;असहाय, निस्सहाय, बेसहारा, निराश्रित, निराश्रय, अनाश्रित, आश्रयहीन, अपाश्रय, निरवलम्ब, अवलम्बहीन, अवलम्बनहीन, , अनवस्थित, अनाथ, निरवलम्ब, अनाश्रित, निःसहाय;जसका कोही सहारा हुँदैनन्  सुरेन्द्रजी असहाय व्यक्तिलाई  सहायता गरिरहन्छन्
37;टुहुरो, पितृहीन, पितृविहीन, पिताहीन, पितविहीन, अपितृ, अपितृक;जसको पिता छैन  टुहुरा नानीहरषु कहिलेकाँही दिशाहीन हुन्छन्
38;साधनहीन, साधनविहीन,साधन नभएको;जसमा  साधनको  कमी छ या कुनै साधन छैन  सरकार साधनहीन व्यक्तिका लागि  साधन जुटाउने  प्रयास गर्दै छ
39;null;nullnull
40;गिद्ध, शृगालिका, सृगाली, सृगालिका, शिजवा, वामी;पोथी गिद्ध  जङ्गलमा एउटा गिद्ध आफ्नो बच्चालाई  दुध खुवाइरहेको छ
41;ससहाय, सहायकयुक्त, सहायतायुक्त;जसको कुनै सहारा छ  ससहाय व्यक्तिले  अरूलाई  सहायता गर्नुपर्छ
42;मातृहीन, माताहीन, मातृविहीन, माताविहीन, अमातृक;जसकी आमा छैनन्  साहुजी बालाखामा नै मातृहीन भए
43;साधन सम्पन्न, साधनपूर्ण, साधनयुक्त;जोसित साधन छ या साधनले  सम्पन्न छन्  साधन सम्पन्न व्यक्ति समाजको विकासमा  सहायक हुने गर्छन्
44;null;nullnull
45;अशिष्टता, अभद्रता, असभ्यता, अशालीनता, फटाइँ;अशिष्ट हुने अवस्था या भाव  अशिष्टताले मानवलाई पशु बनाइदिन्छ
46;null;nullnull
47;null;nullnull
48;null;nullnull
49;null;nullnull
50;null;nullnull
51;null;nullnull
52;त्यसै, अनायास, बिना परिश्रम, अप्रयत्नतः, प्रयत्नहीनतः, अयास;बिना आयास या प्रयासको  त्यसै कुनै काम हुँदैन
